,state,DEMOCRAT,REPUBLICAN,OTHER,Total,State Name,demShare,gopShare,indShare,margin
0,ALABAMA,621911.0,1222018.0,0.0,1843929.0,alabama,0.3372749167674027,0.6627250832325974,0.0,0.3254501664651947
1,ALASKA,111019.0,155088.0,40863.0,306970.0,alaska,0.36166074860735575,0.5052220086653418,0.13311724272730235,0.14356126005798608
2,ARIZONA,1034687.0,1264785.0,110700.0,2410172.0,arizona,0.4293000665512669,0.5247696015056187,0.04593033194311443,0.09546953495435179
3,ARKANSAS,111347.0,760415.0,196512.0,1068274.0,arkansas,0.10423074978891184,0.7118164440958031,0.18395280611528503,0.6075856943068914
4,CALIFORNIA,8624432.0,4682033.0,107553.0,13414018.0,california,0.6429417345347233,0.34904030992056223,0.008017955544714492,-0.293901424614161
5,COLORADO,1263791.0,1288618.0,149029.0,2701438.0,colorado,0.4678215824312829,0.4770118729358216,0.05516654463289552,0.009190290504538678
6,CONNECTICUT,916815.0,558162.0,100140.0,1575117.0,connecticut,0.582061523048764,0.3543622473759092,0.06357622957532678,-0.2276992756728548
7,DELAWARE,233554.0,172301.0,14762.0,420617.0,delaware,0.5552652413002803,0.4096386974373361,0.03509606126238359,-0.1456265438629442
8,FLORIDA,3985050.0,4733630.0,118561.0,8837241.0,florida,0.45093825097674717,0.5356456839866651,0.013416065036587776,0.08470743300991795
9,GEORGIA,1498437.0,2272460.0,0.0,3770897.0,georgia,0.3973688488441875,0.6026311511558126,0.0,0.20526230231162507
10,HAWAII,316265.0,85626.0,10982.0,412873.0,hawaii,0.7660103712279563,0.2073906503937046,0.026598978378339102,-0.5586197208342517
11,IDAHO,208992.0,447544.0,25005.0,681541.0,idaho,0.3066462619270154,0.6566648228059647,0.03668891526701989,0.35001856087894934
12,ILLINOIS,2810536.0,2397436.0,33437.0,5241409.0,illinois,0.5362176468197769,0.4574029616845394,0.006379391495683699,-0.07881468513523748
13,INDIANA,1052901.0,1442989.0,162460.0,2658350.0,indiana,0.3960731280681626,0.5428137754622228,0.06111309646961461,0.14674064739406018
14,IOWA,673969.0,813153.0,26238.0,1513360.0,iowa,0.4453461172490353,0.5373163027964265,0.017337579954538246,0.09197018554739123
15,KANSAS,317635.0,694240.0,160987.0,1172862.0,kansas,0.2708204375280297,0.5919195949736628,0.13725996749830757,0.32109915744563305
16,KENTUCKY,516904.0,1248140.0,0.0,1765044.0,kentucky,0.2928561554272868,0.7071438445727132,0.0,0.41428768914542635
17,LOUISIANA,530050.0,1177543.0,41428.0,1749021.0,louisiana,0.3030552520524339,0.6732583542450319,0.02368639370253416,0.370203102192598
18,MAINE,386627.0,357447.0,0.0,744074.0,maine,0.5196082647693644,0.48039173523063566,0.0,-0.03921652953872873
19,MARYLAND,1636200.0,962088.0,104897.0,2703185.0,maryland,0.6052859867156706,0.355909048030379,0.038804965253950434,-0.2493769386852916
20,MASSACHUSETTS,2344518.0,451121.0,124906.0,2920545.0,massachusetts,0.802767291721237,0.15446466327346436,0.04276804500529867,-0.6483026284477726
21,MICHIGAN,2193980.0,2243402.0,233414.0,4670796.0,michigan,0.4697229337354918,0.480303999575233,0.04997306668927523,0.010581065839741222
22,MINNESOTA,1894122.0,1334679.0,86781.0,3315582.0,minnesota,0.5712788885933149,0.4025474260627546,0.026173685343930567,-0.16873146253056026
23,MISSISSIPPI,449896.0,680810.0,51567.0,1182273.0,mississippi,0.3805347834214264,0.5758483869630787,0.0436168296154949,0.19531360354165234
24,MISSOURI,1041306.0,1600524.0,108233.0,2750063.0,missouri,0.37864805279006336,0.5819953942873308,0.03935655292260577,0.20334734149726746
25,MONTANA,205919.0,285358.0,16554.0,507831.0,montana,0.40548725855648826,0.5619152828401575,0.032597458603354265,0.1564280242836692
26,NEBRASKA,221069.0,557557.0,9640.0,788266.0,nebraska,0.2804497466591227,0.7073208789926243,0.012229374348253,0.4268711323335016
27,NEVADA,508113.0,498104.0,72280.0,1078497.0,nevada,0.4711306568307561,0.46185014886457726,0.06701919430466659,-0.009280507966178853
28,NEW HAMPSHIRE,336451.0,316001.0,63392.0,715844.0,new hampshire,0.4700060348344053,0.441438358078017,0.08855560708757775,-0.02856767675638827
29,NEW JERSEY,1821620.0,1541631.0,100060.0,3463311.0,new jersey,0.5259764427739814,0.4451321293409688,0.028891427885049885,-0.08084431343301257
30,NEW MEXICO,436932.0,343124.0,0.0,780056.0,new mexico,0.5601290163783113,0.4398709836216887,0.0,-0.12025803275662256
31,NEW YORK,4202200.0,2140917.0,765991.0,7109108.0,new york,0.5911008807293404,0.3011512836772208,0.10774783559343873,-0.2899495970521196
32,NORTH CAROLINA,2142661.0,2447326.0,8471.0,4598458.0,north carolina,0.4659520648008528,0.5322057959429009,0.001842139256246333,0.06625373114204802
33,NORTH DAKOTA,80377.0,233980.0,23528.0,337885.0,north dakota,0.23788271157346436,0.6924841292155615,0.06963315921097415,0.4546014176420971
34,OHIO,2154523.0,2996017.0,59937.0,5210477.0,ohio,0.413498226745843,0.574998603774664,0.011503169479492953,0.16150037702882103
35,OKLAHOMA,305222.0,781692.0,46331.0,1133245.0,oklahoma,0.2693345216612471,0.6897819977145278,0.04088348062422512,0.42044747605328064
36,OREGON,1026851.0,730894.0,149652.0,1907397.0,oregon,0.5383520053769614,0.383189236430591,0.07845875819244762,-0.15516276894637038
37,PENNSYLVANIA,2625157.0,3096576.0,22245.0,5743978.0,pennsylvania,0.4570276905656672,0.5390995578325684,0.0038727516017644913,0.08207186726690113
38,RHODE ISLAND,263642.0,141324.0,25195.0,430161.0,rhode island,0.6128914522701965,0.32853745458095923,0.05857109314884427,-0.28435399768923725
39,SOUTH CAROLINA,767627.0,1177365.0,64629.0,2009621.0,south carolina,0.3819760044306862,0.585864200264627,0.0321597953046868,0.20388819583394086
40,SOUTH DAKOTA,132810.0,237163.0,0.0,369973.0,south dakota,0.3589721412103045,0.6410278587896955,0.0,0.28205571757939096
41,TENNESSEE,814181.0,1493740.0,83134.0,2391055.0,tennessee,0.3405111969402628,0.6247200503543415,0.034768752705395735,0.28420885341407875
42,TEXAS,3160535.0,4877605.0,490320.0,8528460.0,texas,0.37058683513787954,0.5719209564212062,0.0574922084409143,0.20133412128332667
43,UTAH,356287.0,710635.0,47222.0,1114144.0,utah,0.31978541373466984,0.6378304779274492,0.04238410833788092,0.31804506419277934
44,VERMONT,264414.0,0.0,29410.0,293824.0,vermont,0.8999060662165106,0.0,0.10009393378348944,-0.8999060662165106
45,VIRGINIA,1859426.0,1843010.0,36580.0,3739016.0,virginia,0.4973035686394495,0.49291310868955895,0.009783322670991513,-0.004390459949890568
46,WASHINGTON,1736145.0,1404890.0,0.0,3141035.0,washington,0.5527302306405373,0.4472697693594627,0.0,-0.10546046128107456
47,WEST VIRGINIA,224449.0,445017.0,16883.0,686349.0,west virginia,0.3270187615921346,0.6483829655175428,0.024598272890322563,0.3213642039254082
48,WISCONSIN,1379996.0,1270279.0,117632.0,2767907.0,wisconsin,0.4985702193028884,0.45893124299335203,0.042498537703759554,-0.03963897630953639
49,WYOMING,75466.0,156176.0,19395.0,251037.0,wyoming,0.3006170405159399,0.6221234320040472,0.07725952748001291,0.3215063914881073
